frame_60,time_s,k0_x,k0_y,k0_vx,k0_vy,k0_speed,k1_x,k1_y,k1_vx,k1_vy
0,0.0,55.49768002322164,38.051091160434225,,,,32.47349863104901,36.83076854121992,,
1,0.016666666666666666,55.45698563990776,38.04940529852764,-2.4416629988330385,-0.10115171439522896,2.4437573261671135,32.40236892870136,36.81129572795671,-4.267782140859282,-1.1683687957923894
2,0.03333333333333333,55.41397266348817,38.04419423311073,-2.5807785851753806,-0.3126639250145047,2.5996493678389236,32.30821114043796,36.78184131995312,-5.649467295803703,-1.7672644802156867
3,0.05,55.35513473817656,38.0361592583332,-3.530275518696442,-0.48209848665180743,3.563041423943791,32.17378526303513,36.747742259747646,-8.065552644169998,-2.045943612328216
4,0.06666666666666667,55.30094078905644,38.02489864585,-3.251636947207146,-0.6756367489919057,3.3210883536923492,32.0348196310387,36.71397381935836,-8.337937919785645,-2.0261064233572768
5,0.08333333333333333,55.24982120762482,38.010509308268716,-3.067174885897259,-0.863360254877108,3.186369832643463,31.9163891763265,36.68367640087451,-7.105827282732022,-1.8178451090308556
6,0.1,55.19115059246225,37.99533177974389,-3.5202369097541464,-0.9106517114894075,3.636118045448196,31.81567214462155,36.66201534892344,-6.043021902296957,-1.2996631170642559
7,0.11666666666666667,55.119975493176554,37.98152935079579,-4.270505957141779,-0.8281457368862277,4.350062814662135,31.718242342292058,36.64924807473119,-5.84578813976961,-0.7660364515349727
8,0.13333333333333333,55.04766386682877,37.968336290169006,-4.338697580867006,-0.7915836376069763,4.410317602344337,31.634354193134783,36.63995298987797,-5.033288949436496,-0.5577050911932702
9,0.15,54.97790432373607,37.95471306487009,-4.185572585562056,-0.8173935179348746,4.264639496155635,31.563905450452115,36.63155626899531,-4.226924560960086,-0.5038032529594716
10,0.16666666666666666,54.90173901032112,37.940583421125915,-4.569918804896815,-0.8477786246506014,4.647890540854421,31.47994418778488,36.62193673133241,-5.037675760034048,-0.5771722597739881
11,0.18333333333333332,54.82348273655451,37.92609825811676,-4.695376425996756,-0.8691097805493087,4.775134719822314,31.37290603686625,36.60730451532684,-6.422289055117787,-0.877932960334391
12,0.2,54.74815793639339,37.91095145767255,-4.519488009667185,-0.9088080266523946,4.609957038718829,31.259247307281083,36.58620915354193,-6.819523775110099,-1.2657217070945137
13,0.21666666666666667,54.673909489108695,37.89621254308011,-4.454906837081722,-0.8843348755465286,4.5418325705804445,31.155366660631532,36.561142047166285,-6.232838798973006,-1.5040263825386546
14,0.23333333333333334,54.59915868700578,37.88277495779242,-4.485048126174718,-0.8062551172614008,4.556940202396071,31.05349812760975,36.53401180486415,-6.112111981306967,-1.6278145381281206
15,0.25,54.52044843462917,37.868437739481045,-4.722615142596993,-0.860233098682528,4.8003223609623715,30.954190918551966,36.50689517282895,-5.95843254346704,-1.626997922112139
16,0.26666666666666666,54.43228123739347,37.85173784424112,-5.2900318341418995,-1.0019937143954394,5.384090286197166,30.865248565020547,36.4829954610684,-5.33654121188512,-1.4339827056329568
17,0.2833333333333333,54.336508801389414,37.832542088923205,-5.746346160243263,-1.1517453190749904,5.860632344154822,30.779157211726854,36.46173613155481,-5.16548119762156,-1.2755597708154198
18,0.3,54.2365583786877,37.8109581311848,-5.997025362103017,-1.2950374643044427,6.135261626667513,30.684682715805415,36.440730705258964,-5.668469755286338,-1.2603255777506206
19,0.31666666666666665,54.13151870393029,37.78963657419894,-6.3023804854444165,-1.279293419151628,6.430909067588755,30.584632499665958,36.42075254278649,-6.003012968367472,-1.1986897483485848
20,0.3333333333333333,54.022640569217906,37.771044459634915,-6.53268808274305,-1.1155268738413326,6.627247829429293,30.47911827520995,36.400998389475625,-6.330853467360527,-1.1852491986518032
21,0.35,53.91255562956192,37.75175969214166,-6.605096379359026,-1.1570860495952218,6.7056801524371545,30.365709586485714,36.379649516387204,-6.8045213234540824,-1.280932385305249
22,0.36666666666666664,53.79810720941978,37.731972151508195,-6.866905208528351,-1.1872524380079597,6.968784362747181,30.252231563298345,36.35846884951552,-6.808681391242146,-1.2708400123011643
23,0.38333333333333336,53.67385669199531,37.71556467692406,-7.455031045468274,-0.9844484750480831,7.519749110769607,30.144359576469896,36.339760462528474,-6.472319209706967,-1.122503219222608
24,0.4,53.54268580445361,37.70039068816039,-7.870253252501982,-0.9104393258202492,7.922738543238572,30.040472388177296,36.32219691304109,-6.2332312975559745,-1.0538129692430687
25,0.4166666666666667,53.41112023592887,37.686530956263084,-7.893934111484526,-0.8315839138383296,7.937614727499293,29.9454578503793,36.30470984281774,-5.700872267879831,-1.0492242134007768
26,0.43333333333333335,53.279161801431165,37.67839033989515,-7.91750606986227,-0.48843698207591046,7.932557787483512,29.86378913895775,36.289316323230935,-4.900122685292985,-0.9236111752085208
27,0.45,53.14755043454489,37.67285050285644,-7.89668201317653,-0.33239022232265825,7.90367446679843,29.791120743061516,36.27717151329158,-4.360103753773998,-0.7286885963614509
28,0.4666666666666667,53.0241584824847,37.66482152532539,-7.403517123611323,-0.4817386518632816,7.419173668833014,29.720872077372476,36.265753215980716,-4.214919941342359,-0.6850978386516715
