frame_60,time_s,k0_x,k0_y,k0_vx,k0_vy,k0_speed,k1_x,k1_y,k1_vx,k1_vy
0,0.0,21.525581311922608,30.348509503160294,,,,-3.8700495316121883,24.38851514709771,,
1,0.016666666666666666,21.507733320270184,30.34506387314044,-1.070879499145434,-0.2067378011912524,1.090652749563934,-3.874157609009584,24.385714011051405,-0.24648464384373625,-0.16806816277828318
2,0.03333333333333333,21.484077200940597,30.33835853441796,-1.41936715977522,-0.4023203233487749,1.4752846426462378,-3.8793875808517826,24.38274287318402,-0.31379831053191864,-0.1782682720430273
3,0.05,21.452299487559173,30.327621836185052,-1.9066628028853927,-0.6442018939744543,2.012550402873691,-3.885674466855556,24.379306271968627,-0.37721316022639506,-0.20619607292367448
4,0.06666666666666667,21.4193311017023,30.317437872418722,-1.978103151412327,-0.611037825979821,2.0703283078790973,-3.890859781322069,24.374163176365453,-0.31111886799079613,-0.3085857361904232
5,0.08333333333333333,21.388208222169677,30.30510574495704,-1.8673727719574629,-0.7399276477009664,2.0086249010903914,-3.894885202133827,24.368746676187868,-0.24152524870546976,-0.3249900106550996
6,0.1,21.356460315315818,30.292425536924032,-1.904874411231532,-0.7608124819804374,2.051190423949446,-3.8978594083876206,24.3629866725312,-0.17845237522761792,-0.34560021940009733
7,0.11666666666666667,21.328181498585458,30.2820363781779,-1.696729003821602,-0.6233495247679599,1.8076100083917128,-3.8997436589201406,24.35687095373046,-0.11305503195120359,-0.3669431280443547
8,0.13333333333333333,21.305707993526543,30.27426566710643,-1.3484103035349193,-0.46624266428814565,1.426741941866728,-3.9006007144871706,24.350647698878014,-0.05142333402179844,-0.3733952911468208
9,0.15,21.28214345415906,30.266276484279093,-1.4138723620490623,-0.4793509696402509,1.492920764227373,-3.900778859310578,24.348122579332937,-0.010688689404450002,-0.15150717270458358
10,0.16666666666666666,21.257467865198514,30.258394737143956,-1.4805353376326735,-0.4729048281082271,1.5542277382762046,-3.9012285040459695,24.346138154665685,-0.026978684123486474,-0.11906548003516093
11,0.18333333333333332,21.236874694690297,30.249459721520427,-1.235590230493031,-0.5361009374117032,1.3468806304879168,-3.901920239447189,24.344671196624798,-0.04150412407315507,-0.08801748245318208
12,0.2,21.213731010386148,30.240373719883483,-1.3886210582489156,-0.5451600982166838,1.4918002467153444,-3.902853303399901,24.343732756925572,-0.05598383716273858,-0.05630638195356141
13,0.21666666666666667,21.18638067152756,30.230788506801865,-1.6410203315153638,-0.5751127848970583,1.7388796519020067,-3.903997436364058,24.343369785046125,-0.06864797784942311,-0.021778312766826957
14,0.23333333333333334,21.160398428592824,30.222385474574445,-1.55893457608407,-0.5041819336452136,1.6384371927921575,-3.905919558811556,24.34339091184014,-0.11532734684987389,0.0012676076408268955
15,0.25,21.13751848895314,30.215909364111695,-1.3727963783809827,-0.3885666277649591,1.426728397666695,-3.909797761711282,24.343412492597427,-0.23269217398354414,0.0012948454372718743
16,0.26666666666666666,21.112782788703907,30.208674666612037,-1.4841420149540596,-0.4340818499795063,1.5463196865569315,-3.9144611248027994,24.343144519337592,-0.27980178549105617,-0.01607839559007118
17,0.2833333333333333,21.087764675888334,30.20146023727449,-1.5010867689343854,-0.4328657602528807,1.562252941834061,-3.9199609850879686,24.342622007420832,-0.3299916171101547,-0.03135071500558695
18,0.3,21.06469701696691,30.195503906138228,-1.3840595352854024,-0.3573798681756557,1.429454849721282,-3.9263288862400305,24.34184480821875,-0.38207406912371233,-0.04663195212501137
19,0.31666666666666665,21.04187659381646,30.190518208993694,-1.3692253890269512,-0.29914182867202044,1.401522029658202,-3.9331419621877535,24.340835487899714,-0.40878455686337745,-0.06055921914210671
20,0.3333333333333333,21.01686678905319,30.185497640050144,-1.5005882857963115,-0.30123413661300447,1.530525141423719,-3.9380635583929458,24.33909190017559,-0.2952957723115368,-0.10461526344748506
21,0.35,20.98977847305408,30.182263164638396,-1.6252989599465195,-0.194068524704889,1.6368443119259604,-3.941634831625327,24.3352248530629,-0.21427639394286935,-0.23202282676130892
22,0.36666666666666664,20.962200048178378,30.179084927878115,-1.6547054925421634,-0.19069420561685035,1.6656573918741648,-3.946136757490113,24.32953332106229,-0.2701155518871623,-0.34149192003667395
23,0.38333333333333336,20.93396214090078,30.17429221102668,-1.6942744366559737,-0.2875630110862204,1.7185046849080425,-3.9559894082212814,24.322669476120744,-0.5911590438701086,-0.4118306964927143
24,0.4,20.905466016504228,30.168794663189857,-1.7097674637930282,-0.32985287020927956,1.7412948332291531,-3.9667655565226103,24.311708737543672,-0.6465688980797335,-0.6576443146243349
25,0.4166666666666667,20.879574192702066,30.163430080660667,-1.553509428129729,-0.3218749517513686,1.5865040270522177,-3.987612005365743,24.30427457646181,-1.2507869305879549,-0.4460496649116408
26,0.43333333333333335,20.85540758387743,30.159054762342535,-1.4499965294781703,-0.2625190990879389,1.4735692087189802,-4.025569453791642,24.30236572027544,-2.2774469055539726,-0.11453137118230927
27,0.45,20.829127741147158,30.154490762220856,-1.576790563816317,-0.2738400073007341,1.600392711723796,-4.071084260387126,24.30052849724344,-2.730888395729014,-0.11023338191989751
28,0.4666666666666667,20.80422929555541,30.151178398668662,-1.4939067355049218,-0.1987418131316332,1.507068559380701,-4.120973746621817,24.30316311960163,-2.9933691740814616,0.1580773414914205
29,0.48333333333333334,20.77910276358111,30.14920359964606,-1.5075919184578623,-0.11848794135609353,1.5122409810761852,-4.17989020907385,24.30829415772748,-3.534987747121985,0.3078622875509751
30,0.5,20.752273506665656,30.14798922210536,-1.6097554149273208,-0.07286265244211165,1.6114035689450146,-4.246941201373268,24.306550923063792,-4.023059537965068,-0.10459407982132518
31,0.5166666666666667,20.724597243393415,30.145852221059624,-1.6605757963344558,-0.1282200627441199,1.665518645906409,-4.307040637081709,24.297488641881646,-3.6059661425064604,-0.5437368709287682
32,0.5333333333333333,20.698234327463197,30.14369183141965,-1.58177495581306,-0.12962337839852012,1.5870772605846426,-4.367462315413251,24.28409845189499,-3.625300699892513,-0.8034113991993053
33,0.55,20.668490729485168,30.142711645648603,-1.7846158786817767,-0.058811146262698344,1.7855846620555023,-4.433786984819733,24.25856673274941,-3.9794801643889244,-1.53190314873477
34,0.5666666666666667,20.638300435292287,30.142399549811422,-1.811417651572853,-0.018725750230856875,1.811514438847071,-4.495797996258496,24.231464058261718,-3.720660686325772,-1.626160469261606
35,0.5833333333333334,20.605813766355524,30.14145161687466,-1.9492001362057465,-0.056875976205645884,1.9500297555816541,-4.547062906746621,24.203038670951294,-3.075894629287532,-1.705523238625446
36,0.6,20.572186080997387,30.14168991455991,-2.0176611214882456,0.014297861115011301,2.0177117807054774,-4.598217753209508,24.176058817708068,-3.069290787773209,-1.6187911945935696
37,0.6166666666666667,20.539438728409422,30.142672998035867,-1.964841155277881,0.05898500855728628,1.9657263280294694,-4.64875045849427,24.151446422289403,-3.0319623170857035,-1.47674372511986
38,0.6333333333333333,20.509420541723372,30.142549529047635,-1.8010912011629898,-0.007408139293900717,1.801106436453587,-4.690102145350863,24.13072978108889,-2.481101211395611,-1.242998472030905
39,0.65,20.481147259427352,30.140632458486397,-1.6963969377611932,-0.11502423367424797,1.7002920763145082,-4.732231127103553,24.108491315570774,-2.527738905161385,-1.3343079310868688
40,0.6666666666666666,20.453189113979473,30.13760847767829,-1.6774887268727667,-0.18143884848633718,1.6872724985980374,-4.77918648069846,24.086052434781017,-2.817321215694406,-1.346332847385412
41,0.6833333333333333,20.42551053634553,30.134305773938934,-1.6607146580365395,-0.19816222436148223,1.6724955732620972,-4.819608303413842,24.06589152187015,-2.4253093629229383,-1.2096547746520514
42,0.7,20.397357542134714,30.131325972202742,-1.689179652649031,-0.1787881041715167,1.69861504912583,-4.856455833232419,24.048932926103493,-2.210851789114585,-1.0175157459993756
43,0.7166666666666667,20.36518898395953,30.127529234856997,-1.9301134905109762,-0.22780424074468897,1.9435104471943876,-4.890815560568001,24.03414910315821,-2.061583640134934,-0.8870293767169812
44,0.7333333333333333,20.334126990147976,30.123616454587037,-1.8637196286933033,-0.2347668161976202,1.8784478465915073,-4.918988399728579,24.021233636496692,-1.69037034963468,-0.774927999691073
45,0.75,20.31128470024317,30.122893787916947,-1.3705373942882915,-0.04336000020536801,1.3712231177894971,-4.934558189838161,24.012979610715984,-0.9341874065749423,-0.4952415468424931
