frame_60,time_s,k0_x,k0_y,k0_vx,k0_vy,k0_speed,k1_x,k1_y,k1_vx,k1_vy
0,0.0,43.32572727756637,35.33141411113951,,,,19.796476706964416,34.35988849353257,,
1,0.016666666666666666,43.32572727756637,35.33141411113951,0.0,0.0,0.0,19.796476706964416,34.35988849353257,0.0,0.0
2,0.03333333333333333,43.32572727756637,35.33141411113951,0.0,0.0,0.0,19.796476706964416,34.35988849353257,0.0,0.0
3,0.05,43.32572727756637,35.33141411113951,0.0,0.0,0.0,19.796476706964416,34.35988849353257,0.0,0.0
4,0.06666666666666667,43.32572727756637,35.33141411113951,0.0,0.0,0.0,19.796476706964416,34.35988849353257,0.0,0.0
5,0.08333333333333333,43.32572727756637,35.33141411113951,0.0,0.0,0.0,19.796476706964416,34.35988849353257,0.0,0.0
6,0.1,43.32572727756637,35.33141411113951,0.0,0.0,0.0,19.796476706964416,34.35988849353257,0.0,0.0
7,0.11666666666666667,43.32572727756637,35.33141411113951,0.0,0.0,0.0,19.796476706964416,34.35988849353257,0.0,0.0
8,0.13333333333333333,43.32572727756637,35.33141411113951,0.0,0.0,0.0,19.796476706964416,34.35988849353257,0.0,0.0
9,0.15,43.32572727756637,35.33141411113951,0.0,0.0,0.0,19.796476706964416,34.35988849353257,0.0,0.0
10,0.16666666666666666,43.32572727756637,35.33141411113951,0.0,0.0,0.0,19.796476706964416,34.35988849353257,0.0,0.0
11,0.18333333333333332,43.32572727756637,35.33141411113951,0.0,0.0,0.0,19.796476706964416,34.35988849353257,0.0,0.0
12,0.2,43.32572727756637,35.33141411113951,0.0,0.0,0.0,19.796476706964416,34.35988849353257,0.0,0.0
13,0.21666666666666667,43.32572727756637,35.33141411113951,0.0,0.0,0.0,19.796476706964416,34.35988849353257,0.0,0.0
14,0.23333333333333334,43.32572727756637,35.33141411113951,0.0,0.0,0.0,19.796476706964416,34.35988849353257,0.0,0.0
15,0.25,43.32572727756637,35.33141411113951,0.0,0.0,0.0,19.796476706964416,34.35988849353257,0.0,0.0
16,0.26666666666666666,43.309504661800204,35.32956772455986,-0.9733569459700675,-0.11078319477903165,0.9796410875997524,19.79353680336744,34.354658987407646,-0.17639421581847614,-0.31377036749560716
17,0.2833333333333333,43.26076647063196,35.323456109648674,-2.9242914700948575,-0.36669689467103694,2.9471931077944187,19.785298690395898,34.3398814275988,-0.4942867782926186,-0.886653588530919
18,0.3,43.18109950006589,35.31256778001698,-4.780018233963972,-0.6532997779018501,4.824455919255005,19.77336362930241,34.317986203774744,-0.7161036656093245,-1.3137134294431974
19,0.31666666666666665,43.072285228249164,35.29600180990496,-6.528856309003572,-0.9939582067211461,6.604083405009666,19.75944892524597,34.2911884310455,-0.8348822433863745,-1.6078663637547663
20,0.3333333333333333,42.93560076578022,35.27331575878697,-8.201067748136524,-1.3611630670791897,8.313259114493274,19.74400169929913,34.26063325701268,-0.9268335568103936,-1.8333104419691892
21,0.35,42.787771270045546,35.247194414308545,-8.869769744080571,-1.567280668705564,9.007174030044345,19.728896704870866,34.23245604222078,-0.9062996656957978,-1.6906328875137433
22,0.36666666666666664,42.64583120508943,35.22065497543443,-8.516403897367013,-1.5923663324470283,8.663992490751527,19.71478361486819,34.21182447782356,-0.8467854001606412,-1.2378938638332215
23,0.38333333333333336,42.508056018684364,35.194614338576166,-8.266511184303909,-1.5624382114957314,8.4128722993377,19.70049754607647,34.19589616330222,-0.8571641275031538,-0.9556988712803616
24,0.4,42.37142645752971,35.17015010514811,-8.197773669279371,-1.4678540056833356,8.328150365761342,19.686075926156867,34.18077474660689,-0.8652971951761401,-0.9072850017197709
25,0.4166666666666667,42.234648914409036,35.14812117275407,-8.206652587240342,-1.321735943642608,8.31240835091584,19.671325554779525,34.16394094595767,-0.8850222826405485,-1.0100280389534078
26,0.43333333333333335,42.09956246006286,35.128754617303215,-8.10518726077035,-1.1619933270510785,8.188057707678006,19.65548134706042,34.14383170431084,-0.9506524631463265,-1.2065544988097088
27,0.45,41.967725663795505,35.11227894821444,-7.91020777604146,-0.988540145326624,7.971737494365276,19.636315210414843,34.11841085740688,-1.1499681987346122,-1.5252508142377508
28,0.4666666666666667,41.83899967470218,35.09811458685031,-7.72355934559954,-0.849861681847841,7.770175920998908,19.612636894420255,34.08797596858986,-1.420698959675235,-1.8260933290211767
29,0.48333333333333334,41.71302292370345,35.08502476700573,-7.558605059923877,-0.7853891906748345,7.5992990882538445,19.583683922264022,34.05506153178353,-1.7371783293739895,-1.9748662083797797
30,0.5,41.588968980091586,35.0721590870964,-7.443236616711744,-0.771940794559498,7.4831586861875135,19.549226678344006,34.02100357818393,-2.067434635200982,-2.0434772159759973
31,0.5166666666666667,41.46381268305915,35.05921442879333,-7.509377821945975,-0.776679498184194,7.549436158789193,19.511107212246188,33.9849625998429,-2.287167965869088,-2.162458700461656
32,0.5333333333333333,41.33438964211564,35.04601549972536,-7.765382456610865,-0.7919357440785291,7.805659928551141,19.47304489741023,33.94608680843988,-2.283738890157494,-2.332547484181333
33,0.55,41.20078496438408,35.032521933542284,-8.016280663893696,-0.8096139709843442,8.057060907324022,19.436805712304718,33.90444570989822,-2.1743511063306897,-2.4984659124996256
34,0.5666666666666667,41.065126996333944,35.018744986119614,-8.139478083007958,-0.8266168453602063,8.181344563872138,19.403120794888974,33.86050355859709,-2.0210950449446585,-2.6365290780678663
35,0.5833333333333334,40.928044102513994,35.00470791041594,-8.224973629197052,-0.8422245422205776,8.267982425023991,19.37263588215389,33.81447972448946,-1.8290947641050082,-2.761430046457747
36,0.6,40.788637585464315,34.990581071313464,-8.364391022980726,-0.8476103461484286,8.407227871553049,19.344972439184712,33.766633898327875,-1.6598065781506932,-2.8707495696950502
37,0.6166666666666667,40.646069718057234,34.97651594556076,-8.554072044424856,-0.8439075451620681,8.595599367466606,19.32002526478236,33.717496114485016,-1.4968304641411834,-2.948267030571543
38,0.6333333333333333,40.49978884416021,34.96241222830236,-8.776852433821603,-0.846223035504039,8.81755249890228,19.296888609048594,33.66709748104213,-1.3881993440259066,-3.023918006573325
39,0.65,40.34878832266776,34.94801883994689,-9.060031289546941,-0.8636033013283395,9.10109760576354,19.274090589285834,33.61496602969015,-1.3678811857656115,-3.12788708111853
40,0.6666666666666666,40.192819095605785,34.93284424710871,-9.358153623718408,-0.9104755702907141,9.402340400624206,19.2511418886825,33.561163923337276,-1.3769220361999857,-3.228126381172558
41,0.6833333333333333,40.03372253505682,34.91597524355137,-9.545793632938029,-1.0121402134403468,9.59930226080538,19.228727105338145,33.50675845649726,-1.344887000661359,-3.2643280104009875
42,0.7,39.873428391992874,34.89655541382541,-9.617648583836598,-1.1651897835577074,9.687973550432586,19.207557289628248,33.453111527426714,-1.2701889425937907,-3.218815744232728
43,0.7166666666666667,39.71260491922708,34.87454459679904,-9.649408365947494,-1.3206490215821987,9.739363205621993,19.187321470391637,33.400229621144796,-1.2141491541966332,-3.172914376915088
44,0.7333333333333333,39.55105791637493,34.85063615960369,-9.69282017112917,-1.4345062317211443,9.798396348316153,19.167286215849632,33.34744793755597,-1.2021152725203166,-3.1669010153295574
45,0.75,39.38936130729107,34.82527765094766,-9.701796545031698,-1.521510519361584,9.820379344084268,19.146786097450835,33.29447011853625,-1.2300071039278038,-3.1786691411829793
46,0.7666666666666667,39.22921829649189,34.79827080233986,-9.608580647950902,-1.6204109164682734,9.744257468190488,19.12454530847924,33.24091243848326,-1.3344473382956323,-3.2134608031797995
47,0.7833333333333333,39.07223107851844,34.769255295159944,-9.419233078406677,-1.7409304307948048,9.578767694762094,19.09873694260323,33.186420346366305,-1.5485019525605992,-3.269525527017123
48,0.8,38.919169399903815,34.73914230765688,-9.18370071687761,-1.8067792501840074,9.359744126634755,19.069374192515543,33.130329292282525,-1.7617650052613243,-3.365463245026774
