frame_60,time_s,k0_x,k0_y,k0_vx,k0_vy,k0_speed,k1_x,k1_y,k1_vx,k1_vy
0,0.0,18.09358308736136,37.11430005450838,,,,9.707453142326873,26.308747251142993,,
1,0.016666666666666666,18.08847048003246,37.11241890848366,-0.30675643973403055,-0.11286876148290048,0.32686215846589184,9.707453142326873,26.308747251142993,0.0,0.0
2,0.03333333333333333,18.081653714000375,37.10991072987777,-0.4090059619250752,-0.15049071635360178,0.4358134148909098,9.707453142326873,26.308747251142993,0.0,0.0
3,0.05,18.07313281370211,37.10677556252974,-0.511254017895908,-0.1881100408816394,0.5447623870048312,9.707453142326873,26.308747251142993,0.0,0.0
4,0.06666666666666667,18.064612020183947,37.10364039962304,-0.511247611089729,-0.18810977440210763,0.5447562822681045,9.707453142326873,26.308747251142993,0.0,0.0
5,0.08333333333333333,18.056275195331548,37.100563224841565,-0.500209491143977,-0.18463048688843742,0.5331959787162482,9.707453142326873,26.308747251142993,0.0,0.0
6,0.1,18.04775457941909,37.097427569605294,-0.5112369547473605,-0.1881393141762544,0.5447564826948516,9.707453142326873,26.308747251142993,0.0,0.0
7,0.11666666666666667,18.037109182172166,37.093678265609,-0.6387238348155222,-0.22495823977763507,0.6771811772378928,9.707453142326873,26.308747251142993,0.0,0.0
8,0.13333333333333333,18.023412828960243,37.08906146580898,-0.8217811927153917,-0.2770079880011167,0.8672126348924805,9.707453142326873,26.308747251142993,0.0,0.0
9,0.15,18.00712868797515,37.083703949686445,-0.9770484591055606,-0.3214509673522059,1.028569110877932,9.707453142326873,26.308747251142993,0.0,0.0
10,0.16666666666666666,17.988073154725388,37.07754769613396,-1.1433319949857434,-0.36937521314897026,1.2015182474048938,9.707453142326873,26.308747251142993,0.0,0.0
11,0.18333333333333332,17.966614627473582,37.07070924171785,-1.2875116351083449,-0.4103072649667183,1.3513098320606687,9.707453142326873,26.308747251142993,0.0,0.0
12,0.2,17.944694209579335,37.06374378971418,-1.3152250736548154,-0.4179271202201562,1.380029011356583,9.707453142326873,26.308747251142993,0.0,0.0
13,0.21666666666666667,17.92323766334912,37.05690518912998,-1.2873927738129254,-0.4103160350521762,1.3511992461094244,9.707453142326873,26.308747251142993,0.0,0.0
14,0.23333333333333334,17.901781789432924,37.05006676783279,-1.2873524349717513,-0.4103052778313554,1.3511575455304845,9.707453142326873,26.308747251142993,0.0,0.0
15,0.25,17.879759518141377,37.0432591671579,-1.3213362774928328,-0.4084560404933768,1.3830277998775524,9.707453142326873,26.308747251142993,0.0,0.0
16,0.26666666666666666,17.85830432419475,37.03642121539484,-1.2873116367975257,-0.41027710578362075,1.351110119037123,9.707453142326873,26.308747251142993,0.0,0.0
