frame_60,time_s,k0_x,k0_y,k0_vx,k0_vy,k0_speed,k1_x,k1_y,k1_vx,k1_vy
0,0.0,19.80519605786379,34.73242711071134,,,,19.292350047925794,34.31136065828217,,
1,0.016666666666666666,19.796533987492595,34.727251558923626,-0.5197242222716625,-0.31053310726292693,0.6054288380332183,19.282628706107438,34.313476075482846,-0.5832805091013427,0.12692503204064565
2,0.03333333333333333,19.784983841454256,34.72035098996594,-0.693008762300309,-0.4140341374613854,0.807270346047964,19.269665995844175,34.3162966607442,-0.777762615795794,0.16923511568123217
3,0.05,19.770545534494616,34.711725347668164,-0.8662984175784061,-0.5175385378663577,1.0091179745082821,19.253462023809774,34.31982242925333,-0.9722383220640296,0.2115461105476868
4,0.06666666666666667,19.756106157718158,34.703099706902464,-0.8663626065875007,-0.5175384459420229,1.0091730322997998,19.2372574354728,34.32334825045508,-0.9722753002185414,0.21154927210531582
5,0.08333333333333333,19.741666000334593,34.694473949672854,-0.8664094430138647,-0.5175454337765473,1.0092168245558284,19.221052711574035,34.32687413906019,-0.9722834339257957,0.21155331630623664
6,0.1,19.72714396081203,34.68578040986454,-0.8713223713538554,-0.5216123884987667,1.0155206342842542,19.204971022815293,34.33035827158288,-0.9649013255245364,0.2090479513616117
7,0.11666666666666667,19.712327497709218,34.676842083484104,-0.8889877861686557,-0.536299582826274,1.0382275889691446,19.189334728407722,34.333691135438706,-0.9381776644542583,0.1999718313494725
8,0.13333333333333333,19.69787641571874,34.66820749086035,-0.8670649194287705,-0.5180755574254192,1.010051413397199,19.17314477913454,34.33721239336651,-0.9713969563910041,0.21127547566806015
9,0.15,19.684778906011893,34.66062264471531,-0.7858505824107453,-0.4550907687021777,0.9081127383938883,19.152474499887862,34.34379396835527,-1.240216754800585,0.3948944993258863
10,0.16666666666666666,19.673353347093972,34.6542740064497,-0.6855335350752512,-0.3809182959368229,0.7842544076332524,19.124328482662452,34.356043791462895,-1.6887610335245995,0.7349893864574142
11,0.18333333333333332,19.663585841783267,34.64917343915923,-0.5860503186423216,-0.30603403742816226,0.6611443171088658,19.089480520803114,34.37322274236022,-2.0908777115602817,1.0307370538394878
12,0.2,19.65564851642522,34.64547403459927,-0.4762395214827819,-0.2219642735975924,0.525425751725071,19.047992644221168,34.39510579911621,-2.489272594916798,1.312983405359347
13,0.21666666666666667,19.648881409863826,34.64262728422522,-0.40602639368366056,-0.1708050224428348,0.44049039496844444,19.000863068561188,34.42135374837237,-2.8277745395988063,1.5748769553695752
14,0.23333333333333334,19.642295693475127,34.639887184879605,-0.3951429833219322,-0.1644059607369286,0.4279804869318101,18.952017163485536,34.44909521927477,-2.930754304539107,1.6644882541439188
15,0.25,19.63557281415109,34.63706728340913,-0.4033727594422487,-0.16919408822843707,0.4374199613089306,18.904449494511354,34.47572270550805,-2.8540601384509046,1.5976491739968424
16,0.26666666666666666,19.628808582878904,34.63422342838397,-0.40585387633115033,-0.17063130150972938,0.4402640230451778,18.857262797439116,34.50201742132851,-2.8312018243342862,1.57768294922775
17,0.2833333333333333,19.622044240535622,34.63137955980154,-0.40586054059687626,-0.1706321149458745,0.44027048170924515,18.81007249824488,34.52831416724167,-2.8314179516540605,1.5778047547894403
18,0.3,19.61528008601771,34.628535678852344,-0.40584927107481406,-0.1706328569515847,0.44026038057428907,18.762878479800786,34.55461292661134,-2.831641106645719,1.5779255621804111
19,0.31666666666666665,19.608721672748562,34.62555898163938,-0.39350479614881806,-0.17860183277790043,0.4321396062197354,18.715640951662674,34.58077883806574,-2.834251688286713,1.5699546872639303
20,0.3333333333333333,19.602246325784336,34.6225290305737,-0.38852081785357484,-0.18179706394064965,0.4289505779959404,18.668383487182936,34.606892711459295,-2.8354478687843,1.5668324036133185
21,0.35,19.594383429213277,34.62027625538933,-0.4717737942635125,-0.1351665110624367,0.49075502918114133,18.621285217658443,34.63359217829175,-2.8258961714696085,1.6019680099472566
22,0.36666666666666664,19.58124170961872,34.62065643011724,-0.7885031756734406,0.022810483674930992,0.7888330471098337,18.574526367686936,34.661638455549095,-2.805530998290422,1.6827766354407458
23,0.38333333333333336,19.562065526500696,34.62402406706737,-1.150570987081423,0.20205821700741922,1.1681785477287867,18.528136929680144,34.691163304231644,-2.7833662804074777,1.771490920952914
24,0.4,19.537672415607304,34.63003254249992,-1.463586653603528,0.3605085259530938,1.507332839783983,18.482116220217943,34.72212342438663,-2.761242567732083,1.8576072092992035
25,0.4166666666666667,19.5081861829104,34.638601889679485,-1.7691739618142321,0.5141608307739887,1.8423728903410581,18.43644060632915,34.75443791188261,-2.740536833327596,1.9388692497588522
26,0.43333333333333335,19.475076201754305,34.648901654848636,-1.9865988693656789,0.6179859101490592,2.0805003371563666,18.390930934307953,34.78746938151683,-2.730580321271816,1.9818881780530262
