frame_60,time_s,k0_x,k0_y,k0_vx,k0_vy,k0_speed,k1_x,k1_y,k1_vx,k1_vy
0,0.0,28.064128867228032,27.244752165185652,,,,20.397426980661642,34.79133957617814,,
1,0.016666666666666666,28.052857679885467,27.258348084813676,-0.6762712405539162,0.8157551776814387,1.0596222443467334,20.397426980661642,34.79133957617814,0.0,0.0
2,0.03333333333333333,28.03782963738049,27.276475952888852,-0.9016825502985881,1.087672084510558,1.4128205777580212,20.397426980661642,34.79133957617814,0.0,0.0
3,0.05,28.019044723408243,27.299135408172656,-1.1270948383348411,1.3595673170282652,1.7660028494123323,20.397426980661642,34.79133957617814,0.0,0.0
4,0.06666666666666667,28.000260347046943,27.321794341580173,-1.1270625816779756,1.3595360044509874,1.7659581564740368,20.397426980661642,34.79133957617814,0.0,0.0
5,0.08333333333333333,27.981752983515626,27.344239276720693,-1.1104418118789994,1.346696108431189,1.7454716915587098,20.397426980661642,34.79133957617814,0.0,0.0
6,0.1,27.96297952484508,27.366889834813872,-1.1264075202328883,1.359033485590757,1.7651532275114723,20.397426980661642,34.79133957617814,0.0,0.0
7,0.11666666666666667,27.941584996168874,27.391329686072197,-1.2836717205722437,1.4663910754995158,1.9488755405365246,20.397426980661642,34.79133957617814,0.0,0.0
8,0.13333333333333333,27.91652133041792,27.418205133074935,-1.5038199450573586,1.6125268201642484,2.2049301968319406,20.397426980661642,34.79133957617814,0.0,0.0
9,0.15,27.888304309480834,27.44719784428279,-1.6930212562250802,1.7395626724713509,2.4274264696352015,20.397426980661642,34.79133957617814,0.0,0.0
10,0.16666666666666666,27.856657897847608,27.478520893760397,-1.898784697993534,1.8793829686563868,2.6716032026126353,20.397426980661642,34.79133957617814,0.0,0.0
11,0.18333333333333332,27.822125957724367,27.51175451635306,-2.071916407394454,1.9940173555598761,2.8755769531529394,20.397426980661642,34.79133957617814,0.0,0.0
12,0.2,27.787063684212995,27.545314867796222,-2.103736410682302,2.013621086589623,2.9121086459795467,20.397426980661642,34.79133957617814,0.0,0.0
13,0.21666666666666667,27.752518884965138,27.578555465759397,-2.072687954871455,1.994435877790508,2.8764230962928954,20.397426980661642,34.79133957617814,0.0,0.0
14,0.23333333333333334,27.717975681814096,27.61179455498885,-2.0725921890625187,1.994345353767244,2.876291322563825,20.397426980661642,34.79133957617814,0.0,0.0
15,0.25,27.683269939842997,27.645449872498784,-2.082344518265913,2.0193190505959535,2.900656498252049,20.397426980661642,34.79133957617814,0.0,0.0
16,0.26666666666666666,27.648717295954444,27.67871643080077,-2.07315863331317,1.9959934981191196,2.8778423798767596,20.397426980661642,34.79133957617814,0.0,0.0
