frame_60,time_s,k0_x,k0_y,k0_vx,k0_vy,k0_speed,k1_x,k1_y,k1_vx,k1_vy
0,0.0,48.63714101477806,25.541377709989078,,,,17.724461261235515,33.10363310203354,,
1,0.016666666666666666,48.567129338115045,25.54765500393824,-4.200700599780873,0.3766376369496527,4.217551592875469,17.681781256487977,33.07484555022016,-2.5608002848522915,-1.7272531088028131
2,0.03333333333333333,48.473322609917275,25.55602738094492,-5.628403691866168,0.5023426204007819,5.650776603873474,17.62433902838755,33.03645042498626,-3.4465336860256457,-2.303707514033846
3,0.05,48.35789362124508,25.566478806744854,-6.925739320331559,0.6270855479961313,6.954070852219744,17.55457613638781,32.988518961398654,-4.185773519984437,-2.8758878152565615
4,0.06666666666666667,48.25145320746882,25.576853096744575,-6.386424826575734,0.6224573999832472,6.41668725124552,17.49366304623723,32.94093192624164,-3.654785409034673,-2.8552221094209074
5,0.08333333333333333,48.15353633969956,25.58715516021668,-5.875012066155421,0.6181238083262031,5.907439700910325,17.441260588612426,32.8936671716565,-3.1441474574882733,-2.8358852751081542
6,0.1,48.064143897849036,25.59738514427645,-5.363546511031672,0.6137990435863827,5.39855355089746,17.397367761907248,32.84672384085235,-2.6335696023107147,-2.8165998482492682
7,0.11666666666666667,47.98373690742174,25.607539950846018,-4.8244194256375295,0.6092883941740013,4.8627415252863155,17.362521912366518,32.80011572017953,-2.0907509724438,-2.7964872403693164
8,0.13333333333333333,47.91018560313492,25.617756202532327,-4.413078257209406,0.6129751011785345,4.4554459012448175,17.334400001901166,32.753915589727,-1.687314627921097,-2.7720078271515547
9,0.15,47.836014084429955,25.627567819111256,-4.450291122297898,0.5886969947357557,4.489059503371992,17.30542496565577,32.707091151020805,-1.7385021747237062,-2.8094663223717475
10,0.16666666666666666,47.760806294388104,25.63571753576406,-4.512467402511078,0.4889829991681438,4.5388838310977455,17.272674269342644,32.6560473423875,-1.9650417787875796,-3.0626285179981494
11,0.18333333333333332,47.68463054209847,25.642242375952527,-4.570545137378161,0.39149041130812634,4.587281067795755,17.236446613946022,32.601102826316044,-2.1736593237973523,-3.2966709642875003
12,0.2,47.60748812027125,25.647142478017223,-4.628545309633125,0.2940061238817293,4.6378735735471235,17.196742176804047,32.54225873385546,-2.382266228518475,-3.5306455476349186
13,0.21666666666666667,47.52933745320729,25.65029721729358,-4.689040023837521,0.18928435658146725,4.692858927433963,17.153443933363214,32.47937258892169,-2.5978946064500263,-3.7731686960262323
14,0.23333333333333334,47.45068354871919,25.65221682996747,-4.719234269285977,0.1151767604334708,4.720639551432316,17.107238885684318,32.41298210923899,-2.7723028607337596,-3.983428780962157
15,0.25,47.37082625183993,25.654281568078382,-4.7914378127556745,0.12388428665460083,4.793039080790475,17.061129839326902,32.34770838238137,-2.7665427814449117,-3.916423611457134
16,0.26666666666666666,47.2817741608072,25.657414024820074,-5.343125461963609,0.1879474045015428,5.346430017230442,17.01370076066865,32.286715705468524,-2.8457447194950447,-3.6595606147707826
17,0.2833333333333333,47.18424173364364,25.661510258811546,-5.851945629813855,0.24577403948832455,5.857104449536809,16.96504356895658,32.229773779763015,-2.919431502724237,-3.4165155423305293
18,0.3,47.07823266975057,25.666570142338777,-6.360543833584131,0.30359301163386476,6.3677850604160655,16.91515786679544,32.17688160098278,-2.9931421296684846,-3.1735307268139934
19,0.31666666666666665,46.96345071602042,25.67261284667307,-6.8869172238090925,0.36256226005747294,6.896454178780304,16.863991579908586,32.128250900162044,-3.0699772132112457,-2.917842049244257
